idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,num_ingredients,instruction_length,num_measurements,preparation_complexity,ingredient_complexity,instruction_complexity,tool_complexity,glass_type_complexity
17222,A1,Cocktail,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,,,,,,,,,,,,4,16,4,1,3,2,2,1
13501,ABC,Shot,Alcoholic,Shot glass,Layered in a shot glass.,Amaretto,Baileys irish cream,Cognac,,,,,,,,,,,,,1/3 ,1/3 ,1/3 ,,,,,,,,,,,,,3,5,3,1,2,1,1,1
17225,Ace,Cocktail,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot,1/2 Fresh,,,,,,,,,,,5,16,5,2,6,3,5,2
14610,ACID,Shot,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,151 proof rum,Wild Turkey,,,,,,,,,,,,,,1 oz Bacardi ,1 oz ,,,,,,,,,,,,,,2,17,2,0,1,2,1,1
13938,AT&T,Ordinary Drink,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,,1 oz ,1 oz ,4 oz ,,,,,,,,,,,,,3,10,3,1,2,1,1,2
17837,Adam,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Dark rum,Lemon juice,Grenadine,,,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,,,,,,,,,,,,,3,19,3,2,2,2,1,1
17833,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Applejack,Grapefruit juice,,,,,,,,,,,,,,1 1/2 oz ,1 oz ,,,,,,,,,,,,,,2,11,2,2,2,1,1,1
17839,Affair,Ordinary Drink,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,,,,2 oz ,2 oz ,2 oz ,,,,,,,,,,,,,4,19,3,0,2,1,1,1
15266,Avalon,Ordinary Drink,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,,,,,,5,58,4,2,3,3,2,1
15106,Apello,Other / Unknown,Non alcoholic,Collins Glass,Stirr. Grnish with maraschino cherry.,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,,,,,,4 cl ,3 cl ,1 cl ,1 ,,,,,,,,,,,,4,5,4,1,2,1,1,1
11023,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Dark rum,Kahlua,Egg white,,,,,,,,,,,,,2 oz ,1 oz ,1 ,,,,,,,,,,,,,3,19,3,2,3,3,2,2
17835,Abilene,Ordinary Drink,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Dark rum,Peach nectar,Orange juice,,,,,,,,,,,,,1 1/2 oz ,2 oz ,3 oz ,,,,,,,,,,,,,3,16,3,1,2,2,1,1
17228,Addison,Cocktail,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Gin,Vermouth,,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,,,,,,,,,,,,,,2,11,2,2,2,1,1,2
17180,Aviation,Cocktail,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Gin,lemon juice,maraschino liqueur,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,,3,20,3,2,4,3,2,1
11046,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Applejack,Triple sec,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,3,12,3,2,2,2,1,1
17840,Affinity,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes ,,,,,,,,,,,,4,20,4,2,2,2,2,1
17836,Acapulco,Ordinary Drink,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,,,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 ,,,,,,,,,,6,25,6,2,4,2,3,1
11014,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,4,18,3,2,3,2,3,1
16419,Avalanche,Shake,Alcoholic,Highball glass,"Mix in highball glass over ice, shake well.",Crown Royal,Kahlua,Cream,,,,,,,,,,,,,1 shot ,1 shot ,Fill with ,,,,,,,,,,,,,3,8,3,1,2,1,1,1
11021,Allegheny,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,5,23,5,2,3,2,2,1
